product_name,price,supplier,properties,certifications,lead_days,lead_type,years_in_business,source_url
Cyanocobalamin Pure (Vitamin B12) Powder Bulk,4.6099,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/cyanocobalamin-pure-vitamin-b12-bulk
Calcium Citrate (USA) Powder,0.0555,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/calcium-citrate-usa
Calcium Carbonate (Mineral) Powder,0.021,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/calcium-carbonate-mineral
Niacinamide Powder (Vitamin B3),0.0425,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/niacinamide-powder-vitamin-b3
L-Leucine,0.0775,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/l-leucine
N-Acetyl L-Glutamine,0.0425,PureBulk,NONE,"[""BSE-TSE-FREE"", ""FAT-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/n-acetyl-l-glutamine
Immune Support Blend,0.165,PureBulk,NONE,"[""NO-FILLERS"", ""PURE""]",NONE,NONE,NONE,https://purebulk.com/products/immune-support-blend
Pantothenic Acid (Vitamin B5),0.0875,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/pantothenic-acid-vitamin-b5
Pyridoxal-5-Phosphate (P5P) (P-5-P) (Vitamin B6),0.85,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/pyridoxal-5-phosphate-p5p-p-5-p-vitamin-b6
Thiamine Mononitrate (Vitamin B1),0.1395,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/thiamine-mononitrate-vitamin-b1
